"Reference","Value","Footprint","LINK","Qty"
"BT1, BT2","254TR","BAT_254TR:BAT_254TR","https://www.digikey.com/en/products/detail/keystone-electronics/254TR/9646026","2"
"BT3","SW_Push","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","https://www.digikey.com/en/products/detail/c-k/PTS636-SK25-SMTR-LFS/10071735?s=N4IgTCBcDaIAoBUDKA2AzCpBpMBWJAsggEoAyAYkiALoC%2BQA","1"
"C1, C2","1uF","Capacitor_SMD:C_0805_2012Metric","","2"
"C4, C12","10uF","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KOQNNNE/3886754","2"
"C6-C10","0.1uf","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661","5"
"C11","0.1uF","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661","1"
"CHRG1","R 1K","LED_SMD:LED_0805_2012Metric","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150080VS75000/4489924","1"
"D1","PWR ON","LED_SMD:LED_0805_2012Metric","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150080VS75000/4489924","1"
"EN1","SW_Push","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","https://www.digikey.com/en/products/detail/c-k/PTS636-SK25-SMTR-LFS/10071735?s=N4IgTCBcDaIAoBUDKA2AzCpBpMBWJAsggEoAyAYkiALoC%2BQA","1"
"IC1","DW01A","DW01A:DW01A SOT23-6","","1"
"J1","PW","Connector_PinSocket_2.00mm:PinSocket_1x04_P2.00mm_Vertical","","1"
"J3","IO+","Connector_PinSocket_2.00mm:PinSocket_1x04_P2.00mm_Vertical","","1"
"J4","PROG","Connector_PinSocket_2.00mm:PinSocket_1x04_P2.00mm_Vertical","","1"
"J5","USB4125-GF-A_REVA2","USB-C-GCT_USB4125-GF-A:GCT_USB4125-GF-A_REVA2","https://www.digikey.com/en/products/detail/gct/USB4125-GF-A/13547388","1"
"POT1","COM-09806","POT-COM_09806:POT-COM_09806","https://www.digikey.com/en/products/detail/sparkfun-electronics/COM-09806/7319606?s=N4IgTCBcDaIMIHkCyBaADATgBxoGwgF0BfIA","1"
"POT2","91AR1KLF","THUMBWHEELPOT1K:THUMBWHEEL POT 1K","https://www.digikey.com/en/products/detail/tt-electronics-bi/91AR1KLF/2408746","1"
"Q1","FS8205A","FS8205A:SOP65P640X120-8N","","1"
"R1","330","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-073K3L/727813","1"
"R2","1,2K","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0805F1K2/2380859","1"
"R3","10K","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805JT10K0/1757762","1"
"R4, R5","1k","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-071KL/727444","2"
"R6","1K","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-071KL/727444","1"
"R7","100","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-07100RL/727543","1"
"R8-R13","4.7k","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/vishay-dale/CRCW08054K70FKEAC/7928553","6"
"R14","R","Resistor_SMD:R_0402_1005Metric","DNP","1"
"STDBY1","G 1K","LED_SMD:LED_0805_2012Metric","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150080SS75000/4489921","1"
"SW1","SLW-66527511-SMT-TR","SW-SLIDE:SLW-66527511-SMT-TR_CUD","https://www.digikey.com/en/products/detail/cui-devices/SLW-66527511-SMT-TR/21259964?s=N4IgTCBcDaIMoBkDqBaAbGgrGA7JgjPinALIAqKZASiALoC%2BQA","1"
"SW2, SW3","SW_Push","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx83-2LFS","https://www.digikey.com/en/products/detail/c-k/PTS645VH83-2-LFS/1146776","2"
"SW4, SW5","SW_Push","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","","2"
"U1","MIC5504-1.8YM5-TR","MIC5504-1.8YM5-TR:SOT23-5P95_280X145XL45X37N","https://www.digikey.com/en/products/detail/microchip-technology/MIC5504-1-8YM5-TR/5209404","1"
"U2","TP4056","TP4056:TP4056","","1"
"U3","ESP32-S3-WROOM-1-N8R8","ESP32-S3:ESP32-S3-WROOM-1-N8R8","https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-WROOM-1-N8/15200089","1"
"U4, U5","COM-09032","POT-COM-09032:POT-COM-09032","https://www.digikey.com/en/products/detail/sparkfun-electronics/COM-09032/6823623","2"
