Ref,Val,Package,PosX,PosY,Rot,Side
"BT3","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",81.900000,-107.765000,0.000000,top
"C1","1uF","C_0805_2012Metric",79.630000,-115.430000,-90.000000,top
"C2","1uF","C_0805_2012Metric",71.970000,-114.690000,180.000000,top
"C6","0.1uf","C_0805_2012Metric",63.000000,-90.000000,0.000000,top
"C7","0.1uf","C_0805_2012Metric",64.000000,-84.450000,-90.000000,top
"C8","0.1uf","C_0805_2012Metric",61.500000,-84.450000,-90.000000,top
"C9","0.1uf","C_0805_2012Metric",67.500000,-104.000000,180.000000,top
"C10","0.1uf","C_0805_2012Metric",84.850000,-104.000000,180.000000,top
"CHRG1","R 1K","LED_0805_2012Metric",86.037500,-121.515000,180.000000,top
"D1","PWR ON","LED_0805_2012Metric",86.037500,-126.515000,0.000000,top
"EN1","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",70.400000,-107.765000,0.000000,top
"J1","PW","PinSocket_1x04_P2.00mm_Vertical",33.975000,-106.175000,180.000000,top
"J3","IO+","PinSocket_1x04_P2.00mm_Vertical",97.000000,-87.800000,-90.000000,top
"J4","PROG","PinSocket_1x04_P2.00mm_Vertical",97.000000,-84.000000,-90.000000,top
"J5","USB4125-GF-A_REVA2","GCT_USB4125-GF-A_REVA2",51.900000,-83.850000,180.000000,top
"POT1","COM-09806","POT-COM_09806",114.110000,-119.665000,0.000000,top
"R1","330","R_0805_2012Metric",89.900000,-126.515000,180.000000,top
"R3","10K","R_0805_2012Metric",63.000000,-87.500000,0.000000,top
"R4","1k","R_0805_2012Metric",90.000000,-124.000000,180.000000,top
"R5","1k","R_0805_2012Metric",89.850000,-121.500000,180.000000,top
"R8","4.7k","R_0805_2012Metric",104.000000,-83.800000,0.000000,top
"R9","4.7k","R_0805_2012Metric",40.300000,-89.900000,180.000000,top
"R10","4.7k","R_0805_2012Metric",48.000000,-123.200000,180.000000,top
"R11","4.7k","R_0805_2012Metric",106.300000,-123.500000,0.000000,top
"R12","4.7k","R_0805_2012Metric",115.400000,-112.100000,180.000000,top
"R13","4.7k","R_0805_2012Metric",60.100000,-115.700000,180.000000,top
"R14","R","R_0402_1005Metric",71.940000,-117.260000,0.000000,top
"STDBY1","G 1K","LED_0805_2012Metric",86.037500,-124.015000,180.000000,top
"SW1","SLW-66527511-SMT-TR","SLW-66527511-SMT-TR_CUD",98.600000,-139.800000,0.000000,top
"SW2","SW_Push","SW_Tactile_SPST_Angled_PTS645Vx83-2LFS",109.725000,-82.962500,0.000000,top
"SW3","SW_Push","SW_Tactile_SPST_Angled_PTS645Vx83-2LFS",37.875000,-83.727500,0.000000,top
"SW4","SW_Push","SW_PUSH_6mm_H4.3mm",45.750000,-126.750000,0.000000,top
"SW5","SW_Push","SW_PUSH_6mm_H4.3mm",100.750000,-126.515000,0.000000,top
"U1","MIC5504-1.8YM5-TR","SOT23-5P95_280X145XL45X37N",76.210000,-115.410000,0.000000,top
"U3","ESP32-S3-WROOM-1-N8R8","ESP32-S3-WROOM-1-N8R8",76.150000,-88.765000,0.000000,top
"U4","COM-09032","POT-COM-09032",102.000000,-103.000000,180.000000,top
"U5","COM-09032","POT-COM-09032",50.000000,-103.000000,180.000000,top
